Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,27% NotNeasInNotNeas: 79,13%, 24.04.2016 2:33:56
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,48% NotNeasInNotNeas: 85,43%, 24.04.2016 2:33:57
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,52% NotNeasInNotNeas: 86,94%, 24.04.2016 2:33:58
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,33% NotNeasInNotNeas: 80,64%, 24.04.2016 2:34:00
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,28% NotNeasInNotNeas: 79,08%, 24.04.2016 2:34:01
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,69% NotNeasInNotNeas: 89,23%, 24.04.2016 2:34:02
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,30% NotNeasInNotNeas: 79,19%, 24.04.2016 2:34:03
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,27% NotNeasInNotNeas: 77,89%, 24.04.2016 2:34:04
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,50% NotNeasInNotNeas: 86,65%, 24.04.2016 2:34:06
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,26% NotNeasInNotNeas: 77,87%, 24.04.2016 2:34:07
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,28% NotNeasInNotNeas: 78,66%, 24.04.2016 2:34:08
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,28% NotNeasInNotNeas: 78,31%, 24.04.2016 2:34:09
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,53% NotNeasInNotNeas: 87,31%, 24.04.2016 2:34:10
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,31% NotNeasInNotNeas: 79,72%, 24.04.2016 2:34:11
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,38% NotNeasInNotNeas: 82,78%, 24.04.2016 2:34:13
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,36% NotNeasInNotNeas: 81,42%, 24.04.2016 2:34:14
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,26% NotNeasInNotNeas: 78,12%, 24.04.2016 2:34:15
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,71% NotNeasInNotNeas: 89,47%, 24.04.2016 2:34:16
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,29% NotNeasInNotNeas: 79,49%, 24.04.2016 2:34:17
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,27% NotNeasInNotNeas: 78,86%, 24.04.2016 2:34:19
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,67% NotNeasInNotNeas: 88,94%, 24.04.2016 2:34:20
Alpha: 0,0001, Beta: 0,1, ErrorRate: 0,01, Timeout: 20000, Threshold: 80, NotNeasInNea: 0,40% NotNeasInNotNeas: 82,30%, 24.04.2016 2:34:21
